0	0.418	-8	3.344	1
3	0.37	-11.3	4.181	1.250299043
5	0.35	-13	4.55	1.360645933
10	0.299	-14.2	4.2458	1.269677033
20	0.269	-13.5	3.6315	1.08597488
30	0.258	-12.5	3.225	0.964413876
40	0.253	-11.6	2.9348	0.877631579
50	0.248	-10.9	2.7032	0.808373206
60	0.243	-10.2	2.4786	0.741208134
70	0.236	-9.56	2.25616	0.674688995
80	0.23	-8.9	2.047	0.612141148
